name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki
Unidentified Petrified girl (II),unidentified-petrified-girl-ii,{},,,,Between 1 September 1971 and 31 August 1978 (most likely),,,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/d/d4/Unidentified_petrified_girl_%28II%29_HM.png,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Petrified_girl_(II)
Unidentified Portkey tout,unidentified-portkey-tout,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/3/37/Unidentified_Portkey_tout.jpg,"{""Portkey tout""}",,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Portkey_tout
Potions student,unidentified-potions-student,{},,,,c. between the 1920s and 1970,,,{},,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Potions_student
Unidentified Prefect,unidentified-prefect,{},,,,Between 1 September 1973 and 31 August 1975 (most likely),,,{},Female,Copper,,,https://static.wikia.nocookie.net/harrypotter/images/5/51/Unidentified_Prefect.jpg,{},,British or Irish,,{},Light,Human,"{""Prefect""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Prefect
Unidentified Puking Pastilles Victim,unidentified-puking-pastilles-victim,{},,,,,,,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/f/f0/Puking_Pastilles_Victim.jpg,{},,British,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Puking_Pastilles_Victim
Unidentified Qilin mother,unidentified-qilin-mother,{},,,,Before 1932,"Winter of 1932, Tianzi Mountains, Kweilin, China",,"{""Daughter (I) †"", ""Daughter (II)""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e9/Unidentified_Qilin_mother.jpeg,{},,,,{},Brown,Qilin,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Qilin_mother
Unidentified Quidditch Captain,unidentified-quidditch-captain-i,{},,,,Between 1 September 1970 and 31 August 1974 (most likely),,Grey,{},Male,Brown,,Hufflepuff or Slytherin,https://static.wikia.nocookie.net/harrypotter/images/1/12/Unidentified_Quidditch_Captain_I.jpg,{},,British or Irish,,{},Light,Human,"{""Chaser"", ""Quidditch Captain""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Quidditch_Captain_(I)
Unidentified Quidditch Captain,unidentified-quidditch-captain-ii,{},,,,Between 1 September 1969 and 31 August 1974 (most likely),,Grey,{},Female,Brown,,Gryffindor or Slytherin,https://static.wikia.nocookie.net/harrypotter/images/e/e4/Unidentified_Quidditch_Captain_II.jpg,{},,British or Irish,,{},Tan,Human,"{""Beater"", ""Quidditch Captain""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Quidditch_Captain_(II)
Unidentified Quidditch player,unidentified-quidditch-player,{},,,,,,,{},,,,,https://static.wikia.nocookie.net/harrypotter/images/2/28/Trailer_Quidditch_player_QC.png,{},,British or Irish,Rabbit or hare,{},,Human,{},"{""Unknown length, wood, and core""}",,https://harrypotter.fandom.com/wiki/Unidentified_Quidditch_player
Unidentified Quidditch referee,unidentified-quidditch-referee,{},,,,,After 1357,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Sahara_Desert.jpg,"{""Quidditch referee""}",,,,{},,Human,"{""Referee""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Quidditch_referee
Unidentified Ravenclaw Prefect (I),unidentified-ravenclaw-prefect-i,{},,,,between 1 September 1973 and 31 August 1976,,,{},Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/e/ea/Ravenclaw_prefect_PS_1.jpg,{},,British or Irish,,{},Light,Human,"{""Prefect""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_Prefect_(I)
Unidentified Ravenclaw Prefect (II),unidentified-ravenclaw-prefect-ii,{},,,,Between 1 September 1969 and 31 August 1974,,,{},Male,,,Ravenclaw,,{},,British or Irish,,{},,Human,"{""Prefect""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_Prefect_(II)
Unidentified Ravenclaw Seeker,unidentified-ravenclaw-seeker,{},,,,31 August 1979 or earlier,,Brown,{},Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/9/9c/Unidentified_Ravenclaw_Seeker_from_HPCOS_PS2.png,{},,British or Irish,,{},Dark,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_Seeker
Unidentified Ravenclaw Seeker's substitute,unidentified-ravenclaw-seeker-s-substitute,{},,,,31 August 1979 or earlier,,,{},Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Ravenclaw_Seeker_Substitute.png,{},,British or Irish,,{},Light,Human,"{""Seeker (substitute)""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_Seeker's_substitute
Ravenclaw girl,unidentified-ravenclaw-black-girl-during-the-battle-of-hogwarts,{},,Pure-blood or Half-blood,,On or before 2 May 1981 (possibly),,Dark,{},Female,Black,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/b/b5/Duri.jpg,{},,British or Irish,,{},Black,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_black_girl_during_the_Battle_of_Hogwarts
Unidentified Ravenclaw boy,unidentified-ravenclaw-boy-i,{},,Pure-blood or half-blood,,Between 1 September 1985 and 31 August 1986,,,{},Male,,,Ravenclaw,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_boy_(I)
Ravenclaw boy,unidentified-ravenclaw-boy-ii,{},,Pure-blood or half-blood,,On or before 2 May 1981 (possibly),,,{},Male,Dark,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/e/e5/Ravenclaw_Boy_II.png,{},,British or Irish,,{},Light,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_boy_(II)
Unidentified Ravenclaw boy,unidentified-ravenclaw-boy-iv,{},,,,31 August 1980 or earlier,,,{},Male,Blonde,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/d/d9/Unidentified_Ravenclaw_boy_at_Christmas.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_boy_(IV)
Unidentified Ravenclaw bully,unidentified-ravenclaw-bully,{},,,,Between 1 September 1874 and 31 August 1875,,Brown,{},Female,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/e/ef/Unidentified_Ravenclaw_bully_HL.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_bully
Unidentified Ravenclaw fourth-years,unidentified-ravenclaw-fourth-years,{},,,,,,,{},,,,Ravenclaw,,{},,British or Irish,,{},,Humans,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_fourth-years
Unidentified Ravenclaw Girl,unidentified-ravenclaw-girl-during-the-battle-of-hogwarts,{},,,,On or before 2 May 1981 (most likely),,,{},Female,Black,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/b/b7/Cho_Chang%27s_female_Ravenclaw_friend_%28I%29.jpg,{},,British or Irish,,{},Light,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_girl_during_the_Battle_of_Hogwarts
Unidentified Ravenclaw girl in 1932,unidentified-ravenclaw-girl-in-1932,{},,,,Between 1 September 1914 and 31 August 1921,,,{},Female,,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/1/11/Unidentified_Ravenclaw_girl_in_1932_SOD.png,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_girl_in_1932
Unidentified Ravenclaw lady,unidentified-ravenclaw-lady,{},,,,,Before 1991 (possibly),,{},Female,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/c/c3/Ravenclaw_lady.jpg,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_lady
Unidentified student,unidentified-ravenclaw-member-of-dumbledore-s-army-i,{},,Pure-blood or half-blood,,On or before 2 May 1981 (possibly),,,{},Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/e/e9/HPDH2-1019_%281%29.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_member_of_Dumbledore's_Army_(I)
Unidentified student,unidentified-ravenclaw-member-of-dumbledore-s-army-ii,{},,Pure-blood or half-blood,,On or before 2 May 1981 (possibly),,,{},Male,Black,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/0/03/Unidentified_Ravenclaw_member_of_Dumbledore%27s_Army%28II%29.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_member_of_Dumbledore's_Army_(II)
Unidentified Ravenclaw student,unidentified-ravenclaw-student-asked-to-the-yule-ball-by-a-durmstrang-student,{},,,,Between 1 September 1977 and 31 August 1983 (most likely),,,{},Female,Red,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/4/46/Ravenclaw_girl_GOF.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Ravenclaw_student_asked_to_the_Yule_Ball_by_a_Durmstrang_student
Unidentified Seeker,unidentified-seeker-i,{},,,,Between 1 September 1969 and 31 August 1973,,Brown,"{""Mother"", ""Father""}",Female,Black,,,https://static.wikia.nocookie.net/harrypotter/images/f/f9/Unidentified_Seeker.jpg,{},,British or Irish,,{},Dark,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Seeker_(I)
Unidentified Seeker,unidentified-seeker-ii,{},,,,Between 1 September 1969 and 31 August 1973 (most likely),,Brown,{},Male,Brown,,Ravenclaw or Slytherin,https://static.wikia.nocookie.net/harrypotter/images/4/43/HM_Unidentified_Seeker_%28II%29.png,{},,British or Irish,,{},Dark,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Seeker_(II)
Unidentified Slug Club Christmas party attendee,unidentified-slug-club-christmas-party-attendee,{},,,,,,,{},Male,White,,,https://static.wikia.nocookie.net/harrypotter/images/2/24/Slug_Club_party_attendees_HBP.png,{},,,,{},Pale,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slug_Club_Christmas_party_attendee
Unidentified Slytherin Beater,unidentified-slytherin-beater-i,{},,,,between 1 September 1974 and 31 August 1980,,,{},Male,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/6/62/Bole_CoS.PNG,{},,British or Irish,,{},Light,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_Beater_(I)
Unidentified Slytherin Beater (II),unidentified-slytherin-beater-ii,{},,,,1970s,,,{},Male,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/c/cb/Unidentified_Slytherin_Beater_%28II%29.png,{},,British or Irish,,{},Light,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_Beater_(II)
Unidentified Slytherin Keeper,unidentified-slytherin-keeper,{},,,,31 August 1985 or earlier,,,{},Male,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/1/13/Unidentified.jpeg,{},,British or Irish,,{},Light,Human,"{""Keeper""}",{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_Keeper
Male Slytherin Student,unidentified-slytherin-boy-i,{},,,,between 1 September 1979 and 31 August 1980,,,{},Male,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/0d/Unidentified_Slytherin_boy_%28I%29.jpg,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_(I)
Male Slytherin student,unidentified-slytherin-boy-ii,{},,,,,,Brown,{},Male,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/6/68/Unidentified_Slytherin_boy_%28II%29.jpg,{},,British or Irish,,{},Dark,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_(II)
Male Slytherin Student,unidentified-slytherin-boy-iii,{},,,,,,Brown,{},Male,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Unidentified_Slytherin_boy_%28III%29.jpg,{},,British or Irish,,{},Dark,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_(III)
Unidentified Slytherin boy (IV),unidentified-slytherin-boy-iv,{},,,,Between 1 September 1872 and 31 August 1879,,,{},Male,Dark,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/b/bb/Unidentified_Slytherin_boy_%28IV%29_HL.png,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_(IV)
Unidentified Slytherin boy (V),unidentified-slytherin-boy-v,{},,,,Between 1 September 1872 and 31 August 1879,,,{},Male,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/9/9b/Unidentified_Slytherin_boy_%28V%29_HL.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_(V)
Unidentified Slytherin boy in the Battle of Hogwarts,unidentified-slytherin-boy-in-the-battle-of-hogwarts,{},,,,31 August 1986 or earlier,,Brown,{},Male,Black,,Slytherin,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_boy_in_the_Battle_of_Hogwarts
Unidentified Slytherin bully,unidentified-slytherin-bully,{},,,,Between 1 September 1874 and 31 August 1875,,Brown,{},Male,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/5/5f/Unidentified_Slytherin_bully_HL.png,{},,British or Irish,,{},Light,Human,{},"{""Unknown length, wood, and core""}",,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_bully
Female Slytherin student,unidentified-slytherin-girl-i,{},,,,Between 1 September 1979 and 31 August 1980,,,{},Female,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/5/53/Unidentified_Slytherin.png,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(I)
Unidentified Slytherin girl,unidentified-slytherin-girl-ii,{},,,,Between 1 September  1979 and 31 August 1980,,,{},Female,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/b/b3/Unidentified_Ravenclaw_girl.jpg,{},,British or Irish,,{},Pale,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(II)
Unidentified Slytherin girl,unidentified-slytherin-girl-iii,{},,,,Between 1 September 1979 and 31 August 1980,,,{},Female,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/c/c6/Charitchiehpgof.png,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(III)
Unidentified Slytherin girl,unidentified-slytherin-girl-iv,{},,,,on or before 31 August 2007,,,{},Female,,,Slytherin,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(IV)
Unidentified Slytherin girl (V),unidentified-slytherin-girl-v,{},,,,Between 1 September 1872 and 31 August 1879,,,{},Female,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/9/98/Unidentified_Slytherin_girl_%28IV%29_HL.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(V)
Unidentified Slytherin girl (VI),unidentified-slytherin-girl-vi,{},,,,Between 1 September 1872 and 31 August 1879,,,{},Female,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/8/81/Unidentified_Slytherin_girl_%28VI%29.png,{},,British or Irish,,{},Dark,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_girl_(VI)
Unidentified Knight,unidentified-slytherin-knight,{},,,,,Before 1991 (possibly),,{},Male,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/7/76/Slytherin_knight.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Slytherin_knight
Unidentified Snatcher,unidentified-snatcher,{},,Pure-blood or half-blood,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/2/21/Unidentifiedsanthecr.jpg,"{""Snatcher""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Snatcher
Unidentified Snatcher (II),unidentified-snatcher-ii,{},,Half-blood or Pure-blood,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/c/ca/Unidentified_Snatcher_II.png,"{""Snatcher""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Snatcher_(II)
Unidentified Snatcher (III),unidentified-snatcher-iii,{},,Pure-blood or half-blood,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/0/07/Snatcher_3.jpeg,"{""Snatcher""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Snatcher_(III)
Unidentified Snatcher (V),unidentified-snatcher-v,{},,Pure-blood or half-blood,,,,,{},Male,,,,,"{""Snatcher""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Snatcher_(V)
Unidentified Snatchers in Diagon Alley,unidentified-snatchers-in-diagon-alley,{},,Pure-bloods or Half-bloods,,Before 1997,"2 May, 1998 (most likely)",Various,{},Males,Various,,,https://static.wikia.nocookie.net/harrypotter/images/a/a0/UF_Snatcher_Gang_.png,"{""Snatchers""}",,,,{},Light,Humans,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Snatchers_in_Diagon_Alley
Unidentified St Mungo's girl patient's father,unidentified-st-mungo-s-girl-patient-s-father,{},,,,,,,"{""Daughter""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_St_Mungo's_girl_patient's_father
Unidentified St Mungo's patient,unidentified-st-mungo-s-patient,{},,Magical to unknown extent,,,,,"{""Brother""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_St_Mungo's_patient
Unidentified St Mungo's patient's brother,unidentified-st-mungo-s-patient-s-brother,{},,,,,,,"{""Brother""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_St_Mungo's_patient's_brother
Unidentified Sudanese Obscurial,unidentified-sudanese-obscurial,{},,,,1918,"September 1926 (aged 8), Sudan",,{},Female,,,,,{},,Sudanese,,{},,Human (Obscurial),{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Sudanese_Obscurial
Unidentified TV weatherman,unidentified-tv-weatherman,{},,Muggle,,,,,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/0/04/TVWeatherman.jpg,"{""Meteorologist""}",,British,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_TV_weatherman
Unidentified Thestrals,unidentified-thestrals,{},,,,,,White,"{""Tenebrus""}","Males, Females",Black,,,https://static.wikia.nocookie.net/harrypotter/images/2/2f/Thestral_on_air.gif,{},,,,{},Black,Thestral,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Thestrals
Unidentified Wampanoag children,unidentified-wampanoag-children,{},,,,17th century,,,{},Males,,,,,{},,Native American,,{},,Humans,{},"{""Unknown lengths, woods and cores""}",,https://harrypotter.fandom.com/wiki/Unidentified_Wampanoag_children
Wiseacre's Wizarding Equipment employee,unidentified-wiseacre-s-wizarding-equipment-employee,{},,,,,,,{},Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/d/df/Wiseacre%27s_employee.jpg,"{""Employee at Wiseacre's Wizarding Equipment""}",,British,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Wiseacre's_Wizarding_Equipment_employee
Unidentified Wizards in the Hog's Head,unidentified-wizards-in-the-hog-s-head,{},,,,,,,{},Males,,,,,{},,English,,{},,Humans,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Wizards_in_the_Hog's_Head
Unidentified Wizengamot clerk,unidentified-wizengamot-clerk,{},,,,Before 1990,,,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/b/b5/HM_Unidentified_%D0%A1lerk.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_Wizengamot_clerk
Unidentified acolyte,unidentified-acolyte,{},,,,Before 1927,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_acolyte
Unidentified auburn-haired centaur,unidentified-auburn-haired-centaur,{},,,,,,,{},Male,Auburn,,,https://static.wikia.nocookie.net/harrypotter/images/0/0d/Unidentified_auburn-haired_Centaur.png,{},,,,{},Light,Centaur,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_auburn-haired_centaur
Unidentified balding British Ministry of Magic employee,unidentified-balding-british-ministry-of-magic-employee,{},,Pure-blood or half-blood (most likely),,Before 1980,,,{},Male,,,,,"{""British Ministry of Magic worker""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_balding_British_Ministry_of_Magic_employee
Unidentified balding Muggle,unidentified-balding-muggle,{},,Muggle,,,,,"{""Wife""}",Male,,,,,{},Married,English,,"{""Wife""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_balding_Muggle
Unidentified mousy Muggle,unidentified-balding-muggle-s-wife,{},,Muggle,,,,,"{""Husband""}",Female,,,,,{},Married,English,,"{""Husband""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_balding_Muggle's_wife
Unidentified bank begging tramp,unidentified-bank-begging-tramp,{},,No-Maj,,,,,{},Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/e/ee/Bank_Begging_Tramp.jpg,{},,American,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_bank_begging_tramp
Unidentified bank employee,unidentified-bank-employee,{},,No-Maj,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/2/2e/Bank_Employee.jpg,"{""Employee at Steen National Bank""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_bank_employee
Unidentified bank guard,unidentified-bank-guard,{},,No-Maj,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/51/Bank_Guard.jpg,"{""Security guard at Steen National Bank""}",,American,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_bank_guard
Unidentified bearded centaur,unidentified-bearded-centaur,{},,,,,,,{},Male,"Unknown, bearded",,,https://static.wikia.nocookie.net/harrypotter/images/8/84/Centaurs.JPG,{},,,,{},,Centaur,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_bearded_centaur
Unidentified Death Eater,unidentified-black-death-eater-at-the-battle-of-hogwarts-i,{},,Pure-blood or half-blood,,,,,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/a/a1/Black_Death_Eater.jpg,{},,,None,{},Black,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_black_Death_Eater_at_the_Battle_of_Hogwarts_(I)
Unidentified Death Eater,unidentified-black-death-eater-at-the-battle-of-hogwarts-ii,{},,Pure-blood or half-blood,,,"2 May 1998, Hogwarts Castle",Grey,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/7/77/HPDH2-3271.jpg,{},,,None,{},Light brown,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_black_Death_Eater_at_the_Battle_of_Hogwarts_(II)
Unidentified black wizard,unidentified-black-wizard-during-the-battle-of-hogwarts,{},,,,,,,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/7/71/HPDH2-1253.jpg,{},,,,{},Black,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_black_wizard_during_the_Battle_of_Hogwarts
Unidentified blond twin boys,unidentified-blond-twin-boys-at-platform-nine-and-three-quarters,{},,,,2000s,,,{},Males,Blond,,,https://static.wikia.nocookie.net/harrypotter/images/d/d3/Blond_twins.jpg,{},,,,{},White,Humans,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_blond_twin_boys_at_Platform_Nine_and_Three-Quarters
Unidentified Slytherin student,unidentified-blonde-slytherin-girl,{},,Pure-blood or Half-blood,,Between 1 September 1979 and 31 August 1980,,,{},Female,Blonde,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/3/3c/Blonde_Slytherin_girl.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_blonde_Slytherin_girl
Unidentified bluebird,unidentified-bluebird,{},,,,Before or in 1993,"1993, Hogwarts grounds, Scotland",,{},,,,,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Bluebird_POA_1.jpg,{},,,,{},,Bluebird,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_bluebird
Unidentified boy during Quidditch,unidentified-boy-during-the-1996-quidditch-match-i,{},,,,,,,{},Male,,,"Gryffindor, Hufflepuff or Ravenclaw",,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_during_the_1996_Quidditch_match_(I)
Boy in a corridor,unidentified-boy-in-a-corridor,{},,,,,,,{},Male,Blonde,,,,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_in_a_corridor
Unidentified boy in the Great Hall,unidentified-boy-in-the-great-hall-i,{},,,,1985 or earlier,,,{},Male,,,Slytherin (possibly),,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_in_the_Great_Hall_(I)
Unidentified boy in the Great Hall,unidentified-boy-in-the-great-hall-ii,{},,,,1985 or earlier,,,{},Male,,,Slytherin (possibly),,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_in_the_Great_Hall_(II)
Unidentified boy in the Great Hall,unidentified-boy-in-the-great-hall-iii,{},,,,1985 or earlier,,,{},Male,,,Slytherin (possibly),,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_in_the_Great_Hall_(III)
Boy who attended Charm School,unidentified-boy-who-attended-charm-school,{},,Half-blood (most likely),,Between 1 September 1979 and 31 August 1980,,Blue,"{""Father""}",Male,Blond,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/6/6a/Charm_School_boy.png,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_who_attended_Charm_School
Unidentified boy who attended Charm School's father,unidentified-boy-who-attended-charm-school-s-father,{},,,,Before 1963 (most likely),,,"{""Son""}",Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_who_attended_Charm_School's_father
Unidentified boy,unidentified-boy-who-transfigured-his-friend,{},,,,31 August 1981 or earlier,,,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/a/ae/Badgered_Boy.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_who_transfigured_his_friend
Unidentified boy with birthmark,unidentified-boy-with-birthmark,{},,No-Maj,,Pre 1926,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/4/47/Boy_with_birthmark.png,{},,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Unidentified_boy_with_birthmark
